"crash_unit_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"757641","JC468151","2019-10-11T01:05:00","5","PARKED",,"719675",,"LINCOLN-CONTINENTAL","Aviator","IL","2004","NONE","PASSENGER","NOT IN USE","N","PARKED",,,"0",,,,,,,,,,"true",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757478","JC468147","2019-10-11T00:53:00","1","DRIVER",,"719522",,"NISSAN","NISSAN ALTIMA","IL","2015","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD","true",,"1",,,,,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757479","JC468147","2019-10-11T00:53:00","2","DRIVER",,"719525",,"BUICK","LUCERNE","WI","2007","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD","true",,"1",,,,,"true",,,,"true","true","true",,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757480","JC468147","2019-10-11T00:53:00","3","PARKED",,"719527",,"BUICK","LACROSSE","IN","2001","UNKNOWN","PASSENGER","PERSONAL","E","PARKED",,,"0",,,,,,,,,,"true","false",,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757470","JC468154","2019-10-11T00:50:00","1","DRIVER","1","719515",,"NISSAN","Pathfinder","IL","2016","NONE","PASSENGER","PERSONAL","W","BACKING","true",,"2",,"CPD","701 N. SACRAMENTO",,"true","true",,,"true","true",,,,"true","true","true",,"FRONT-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757471","JC468154","2019-10-11T00:50:00","2","DRIVER",,"719519",,"FORD","EXPLORER","IL","2015","NONE","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757461","JC468150","2019-10-11T00:48:00","1","DRIVER",,"719503",,"UNKNOWN","UNKNOWN","IL",,"UNKNOWN","UNKNOWN/NA","PERSONAL","N","PASSING/OVERTAKING",,,"1",,,,,,,,,,,,,,,"true","true",,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757462","JC468150","2019-10-11T00:48:00","2","DRIVER","1","719506",,"TOYOTA MOTOR COMPANY, LTD.","COROLLA","IL","2011","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD","true",,"2",,"private",,,"true",,,,,,,,,,,"true",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757463","JC468143","2019-10-11T00:40:00","1","DRIVER",,"719507",,"UNKNOWN","UNKNOWN","IL",,"UNKNOWN","UNKNOWN/NA","PERSONAL","E","TURNING LEFT",,,"1",,,,,,,,,,,,,,,,"true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757464","JC468143","2019-10-11T00:40:00","2","DRIVER",,"719508",,"HYUNDAI","HYUNDAI","IL","2008","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD","true",,"1",,"PRIVATE TOW","UNK",,"true",,,,,,,,,,"true","true",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
